"no_of_dependents","education","self_employed","income_annum","loan_amount","loan_term","cibil_score","residential_assets_value","commercial_assets_value","luxury_assets_value","bank_asset_value","loan_status"
2.0,"1","0",9600000.0,2.99E7,12.0,778.0,2400000.0,1.76E7,2.27E7,8000000.0,"1"
0.0,"0","1",4100000.0,1.22E7,8.0,417.0,2700000.0,2200000.0,8800000.0,3300000.0,"0"
3.0,"1","0",9100000.0,2.97E7,20.0,506.0,7100000.0,4500000.0,3.33E7,1.28E7,"0"
3.0,"1","0",8200000.0,3.07E7,8.0,467.0,1.82E7,3300000.0,2.33E7,7900000.0,"0"
5.0,"0","1",9800000.0,2.42E7,20.0,382.0,1.24E7,8200000.0,2.94E7,5000000.0,"0"
0.0,"1","1",4800000.0,1.35E7,10.0,319.0,6800000.0,8300000.0,1.37E7,5100000.0,"0"
5.0,"1","0",8700000.0,3.3E7,4.0,678.0,2.25E7,1.48E7,2.92E7,4300000.0,"1"
2.0,"1","1",5700000.0,1.5E7,20.0,382.0,1.32E7,5700000.0,1.18E7,6000000.0,"0"
0.0,"1","1",800000.0,2200000.0,20.0,782.0,1300000.0,800000.0,2800000.0,600000.0,"1"
5.0,"0","0",1100000.0,4300000.0,10.0,388.0,3200000.0,1400000.0,3300000.0,1600000.0,"0"
4.0,"1","1",2900000.0,1.12E7,2.0,547.0,8100000.0,4700000.0,9500000.0,3100000.0,"1"
2.0,"0","1",6700000.0,2.27E7,18.0,538.0,1.53E7,5800000.0,2.04E7,6400000.0,"0"
3.0,"0","1",5000000.0,1.16E7,16.0,311.0,6400000.0,9600000.0,1.46E7,4300000.0,"0"
2.0,"1","1",9100000.0,3.15E7,14.0,679.0,1.08E7,1.66E7,2.09E7,5000000.0,"1"
1.0,"0","0",1900000.0,7400000.0,6.0,469.0,1900000.0,1200000.0,5900000.0,1900000.0,"0"
5.0,"0","0",4700000.0,1.07E7,10.0,794.0,5700000.0,3900000.0,1.64E7,4400000.0,"1"
2.0,"1","1",500000.0,1600000.0,4.0,663.0,1300000.0,100000.0,1300000.0,700000.0,"1"
4.0,"0","1",2900000.0,9400000.0,14.0,780.0,2900000.0,2800000.0,6700000.0,4300000.0,"1"
2.0,"1","0",2700000.0,1.03E7,10.0,736.0,1000000.0,0.0,6200000.0,3300000.0,"1"
5.0,"1","0",6300000.0,1.46E7,12.0,652.0,1.03E7,3500000.0,2.35E7,5900000.0,"1"
2.0,"1","0",5000000.0,1.94E7,12.0,315.0,9500000.0,1600000.0,1.8E7,6100000.0,"0"
4.0,"1","0",5800000.0,1.4E7,16.0,530.0,3800000.0,1.13E7,2.22E7,5400000.0,"0"
4.0,"1","1",6500000.0,2.57E7,18.0,311.0,1.31E7,1700000.0,1.95E7,8500000.0,"0"
0.0,"0","1",500000.0,1400000.0,2.0,551.0,900000.0,600000.0,1100000.0,300000.0,"1"
0.0,"0","0",4900000.0,9800000.0,16.0,324.0,3800000.0,8700000.0,1.0E7,3300000.0,"0"
5.0,"0","0",3100000.0,9500000.0,20.0,514.0,7900000.0,3100000.0,6600000.0,2600000.0,"0"
4.0,"1","0",8200000.0,2.81E7,12.0,696.0,1.15E7,1.06E7,2.53E7,7200000.0,"1"
4.0,"0","1",2400000.0,5600000.0,4.0,662.0,4500000.0,4200000.0,5400000.0,2500000.0,"1"
5.0,"0","1",7000000.0,2.4E7,6.0,336.0,2300000.0,1.19E7,2.75E7,9700000.0,"0"
3.0,"0","1",9000000.0,3.15E7,10.0,850.0,2.18E7,1.24E7,3.37E7,8000000.0,"1"
2.0,"0","0",9800000.0,2.53E7,12.0,313.0,2.02E7,5200000.0,2.55E7,9300000.0,"0"
2.0,"1","0",5700000.0,1.2E7,6.0,363.0,3600000.0,7400000.0,2.17E7,4300000.0,"0"
1.0,"0","1",800000.0,1600000.0,10.0,436.0,700000.0,200000.0,2200000.0,1000000.0,"0"
5.0,"0","1",8400000.0,2.2E7,2.0,830.0,3800000.0,3900000.0,1.99E7,5400000.0,"1"
3.0,"1","0",4900000.0,1.19E7,8.0,612.0,9700000.0,1200000.0,1.9E7,5800000.0,"1"
2.0,"1","1",1700000.0,3400000.0,8.0,691.0,2700000.0,2800000.0,6000000.0,900000.0,"1"
3.0,"0","0",1600000.0,6200000.0,18.0,636.0,3400000.0,700000.0,5300000.0,1400000.0,"1"
5.0,"1","1",8000000.0,2.72E7,6.0,348.0,6400000.0,300000.0,1.67E7,7100000.0,"0"
5.0,"1","0",3600000.0,7700000.0,16.0,830.0,7000000.0,1300000.0,1.0E7,2900000.0,"1"
3.0,"0","1",1500000.0,5100000.0,6.0,352.0,100000.0,200000.0,5600000.0,900000.0,"0"
1.0,"1","0",7800000.0,1.81E7,2.0,712.0,8600000.0,1.12E7,2.17E7,9000000.0,"1"
2.0,"0","0",9100000.0,2.49E7,16.0,822.0,2.23E7,1.21E7,3.1E7,5200000.0,"1"
3.0,"1","0",1400000.0,3400000.0,6.0,540.0,200000.0,1500000.0,3900000.0,800000.0,"0"
2.0,"1","1",800000.0,2300000.0,12.0,342.0,2200000.0,1300000.0,1800000.0,800000.0,"0"
5.0,"1","0",6500000.0,1.34E7,18.0,787.0,1.82E7,300000.0,1.62E7,5400000.0,"1"
4.0,"1","0",8000000.0,2.78E7,16.0,331.0,1.3E7,6300000.0,2.14E7,1.09E7,"0"
3.0,"0","1",4200000.0,1.46E7,6.0,679.0,2400000.0,6900000.0,8700000.0,4900000.0,"1"
1.0,"1","1",4900000.0,1.91E7,14.0,677.0,5400000.0,9100000.0,1.77E7,6500000.0,"1"
3.0,"0","0",5500000.0,2.05E7,12.0,634.0,800000.0,8600000.0,1.85E7,8200000.0,"1"
1.0,"0","1",9500000.0,1.91E7,16.0,662.0,100000.0,1.05E7,3.77E7,1.17E7,"1"
4.0,"1","0",7300000.0,2.54E7,16.0,502.0,500000.0,1800000.0,2.05E7,1.05E7,"0"
2.0,"1","0",8700000.0,2.47E7,10.0,435.0,6800000.0,3500000.0,2.18E7,1.13E7,"0"
5.0,"0","0",3800000.0,7600000.0,4.0,689.0,8700000.0,100000.0,9300000.0,3400000.0,"1"
1.0,"0","1",8400000.0,2.3E7,12.0,657.0,1.54E7,1.48E7,3.19E7,8200000.0,"1"
2.0,"1","1",5100000.0,1.97E7,20.0,590.0,7400000.0,9300000.0,1.94E7,3400000.0,"1"
